Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.81      3.45     3.45 396526184     0.00     0.00  operator-(b2Vec2 const&, b2Vec2 const&)
  0.23     20.18     0.05 10025002     0.00     0.00  b2Vec2::operator+=(b2Vec2 const&)
  0.23     20.23     0.05                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.23     20.28     0.05                             b2DynamicTree::AllocateNode()
  0.23     20.33     0.05                             b2Vec2::Length() const
  0.23     20.38     0.05                             _GLOBAL__sub_I_b2_defaultFilter
  0.18     20.42     0.04  6000000     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.18     20.46     0.04                             b2DynamicTree::CreateProxy(b2AABB const&, void*)
  0.18     20.50     0.04                             b2DynamicTree::FreeNode(int)
  0.18     20.54     0.04                             b2GrowableStack<int, 256>::~b2GrowableStack()
  0.18     20.58     0.04                             b2ContactManager::Collide()
  0.18     20.62     0.04                             b2StackAllocator::Allocate(int)
  0.18     20.66     0.04                             b2World::ClearForces()
  0.18     20.70     0.04                             b2DynamicTree::GetFatAABB(int) const
  0.18     20.74     0.04                             b2Body::IsActive() const
  0.18     20.78     0.04                             b2Shape::GetType() const
  0.16     20.81     0.04                             int b2Max<int>(int, int)
  0.14     20.84     0.03 12600000     0.00     0.00  b2Color::b2Color(float, float, float)
  0.14     20.87     0.03 10017842     0.00     0.00  b2Vec2::Set(float, float)
  0.14     20.90     0.03 10000050     0.00     0.00  b2Contact::GetFixtureB()
  0.14     20.93     0.03  4000274     0.00     0.00  b2PolygonShape::b2PolygonShape()
  0.14     20.96     0.03  2001472     0.00     0.00  b2Vec2::operator*=(float)
  0.14     20.99     0.03                             b2Cross(b2Vec2 const&, float)
  0.14     21.02     0.03                             b2Cross(float, b2Vec2 const&)
  0.14     21.05     0.03                             void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*)
  0.14     21.08     0.03                             b2Fixture::Destroy(b2BlockAllocator*)
  0.14     21.11     0.03                             b2PrismaticJoint::GetAnchorA() const
  0.09     21.13     0.02 10700000     0.00     0.00  b2Body::GetFixtureList()
  0.09     21.15     0.02 10605936     0.00     0.00  b2Fixture::GetShape()
  0.09     21.17     0.02 10000050     0.00     0.00  b2Contact::GetFixtureA()
  0.09     21.19     0.02  2000000     0.00     0.00  b2Joint::GetBodyA()
  0.09     21.21     0.02                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.09     21.23     0.02                             b2BroadPhase::QueryCallback(int)
  0.09     21.25     0.02                             b2DynamicTree::DestroyProxy(int)
  0.09     21.27     0.02                             b2Body::CreateFixture(b2FixtureDef const*)
  0.09     21.29     0.02                             b2World::Dump()
  0.09     21.31     0.02                             b2World::Step(float, int, int)
  0.09     21.33     0.02                             b2Fixture::CreateProxies(b2BroadPhase*, b2Transform const&)
  0.09     21.35     0.02                             b2Fixture::DestroyProxies(b2BroadPhase*)
  0.09     21.37     0.02                             b2PolygonShape::GetChildCount() const
  0.09     21.39     0.02                             b2Body::ShouldCollide(b2Body const*) const
  0.09     21.41     0.02                             b2World::IsLocked() const
  0.09     21.43     0.02                             b2Fixture::GetMassData(b2MassData*) const
  0.09     21.45     0.02                             b2Fixture::IsSensor() const
  0.09     21.47     0.02                             operator==(b2Vec2 const&, b2Vec2 const&)
  0.07     21.49     0.02  4000330     0.00     0.00  b2Filter::b2Filter()
  0.07     21.50     0.02                             b2StackAllocator::GetMaxAllocation() const
  0.05     21.51     0.01 14703094     0.00     0.00  b2Vec2::SetZero()
  0.05     21.52     0.01 12703000     0.00     0.00  b2Body::GetTransform() const
  0.05     21.53     0.01  4000176     0.00     0.00  b2Shape::~b2Shape()
  0.05     21.54     0.01  3200142     0.00     0.00  b2Fixture::GetFilterData() const
  0.05     21.55     0.01   100000     0.00     0.00  cs296::base_sim_t::step(cs296::settings_t*)
  0.05     21.56     0.01     1717     0.01     0.01  b2Body::SetAwake(bool)
  0.05     21.57     0.01        4     2.50     2.50  b2ContactListener::b2ContactListener()
  0.05     21.58     0.01                             b2BroadPhase::BufferMove(int)
  0.05     21.59     0.01                             b2BroadPhase::ShiftOrigin(b2Vec2 const&)
  0.05     21.60     0.01                             debug_draw_t::DrawPolygon(b2Vec2 const*, int, b2Color const&)
  0.05     21.61     0.01                             b2PolygonShape::operator=(b2PolygonShape const&)
  0.05     21.62     0.01                             b2BlockAllocator::~b2BlockAllocator()
  0.05     21.63     0.01                             b2ContactManager::AddPair(void*, void*)
  0.05     21.64     0.01                             cs296::base_sim_t::mouse_move(b2Vec2 const&)
  0.05     21.65     0.01                             b2Body::GetNext()
  0.05     21.66     0.01                             b2Shape::operator=(b2Shape const&)
  0.05     21.67     0.01                             b2Fixture::GetNext()
  0.05     21.68     0.01                             b2Fixture::b2Fixture()
  0.05     21.69     0.01                             b2BroadPhase::TestOverlap(int, int) const
  0.05     21.70     0.01                             b2PolygonShape::Clone(b2BlockAllocator*) const
  0.05     21.71     0.01                             b2Body::GetWorldPoint(b2Vec2 const&) const
  0.05     21.72     0.01                             b2Body::IsBullet() const
  0.05     21.73     0.01                             b2Timer::GetMilliseconds() const
  0.05     21.74     0.01                             b2Contact::IsEnabled() const
  0.05     21.75     0.01                             void std::__iter_swap<true>::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
  0.05     21.76     0.01                             void std::__insertion_sort<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
  0.05     21.77     0.01                             void std::__unguarded_linear_insert<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
  0.05     21.78     0.01                             operator new(unsigned long, void*)
  0.02     21.79     0.01                             b2Body::ApplyLinearImpulse(b2Vec2 const&, b2Vec2 const&, bool)
  0.02     21.79     0.01                             b2Body::Advance(float)
  0.00     21.79     0.00  6400084     0.00     0.00  b2Body::GetPosition() const
  0.00     21.79     0.00  4000282     0.00     0.00  b2Shape::b2Shape()
  0.00     21.79     0.00  4000170     0.00     0.00  b2PolygonShape::~b2PolygonShape()
  0.00     21.79     0.00  4000000     0.00     0.00  b2Joint::GetBodyB()
  0.00     21.79     0.00  2000118     0.00     0.00  b2FixtureDef::b2FixtureDef()
  0.00     21.79     0.00  2000000     0.00     0.00  std::abs(float)
  0.00     21.79     0.00   200000     0.00     0.00  b2World::GetProfile() const
  0.00     21.79     0.00   100000     0.00     0.00  cs296::base_sim_t::get_world()
  0.00     21.79     0.00   100000     0.00     0.00  b2World::SetSubStepping(bool)
  0.00     21.79     0.00   100000     0.00     0.00  b2World::SetWarmStarting(bool)
  0.00     21.79     0.00   100000     0.00     0.00  b2World::SetContinuousPhysics(bool)
  0.00     21.79     0.00     6144     0.00     0.00  cs296::contact_point_t::contact_point_t()
  0.00     21.79     0.00     1620     0.00     0.00  b2Contact::GetManifold()
  0.00     21.79     0.00      540     0.00     0.00  b2WorldManifold::b2WorldManifold()
  0.00     21.79     0.00      540     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.00     21.79     0.00      540     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     21.79     0.00      137     0.00     0.00  b2BodyDef::b2BodyDef()
  0.00     21.79     0.00       40     0.00     0.00  b2JointDef::b2JointDef()
  0.00     21.79     0.00       40     0.00     0.00  b2PrismaticJointDef::b2PrismaticJointDef()
  0.00     21.79     0.00       18     0.00     0.00  b2ContactListener::BeginContact(b2Contact*)
  0.00     21.79     0.00        8     0.00     0.00  b2CircleShape::b2CircleShape()
  0.00     21.79     0.00        6     0.00     0.00  b2CircleShape::~b2CircleShape()
  0.00     21.79     0.00        3     0.00     0.00  debug_draw_t::debug_draw_t()
  0.00     21.79     0.00        3     0.00     2.50  cs296::base_sim_t::base_sim_t()
  0.00     21.79     0.00        2     0.00     0.00  debug_draw_t::~debug_draw_t()
  0.00     21.79     0.00        2     0.00     0.00  b2ContactListener::~b2ContactListener()
  0.00     21.79     0.00        2     0.00     0.00  cs296::base_sim_t::~base_sim_t()
  0.00     21.79     0.00        2     0.00     0.00  cs296::settings_t::settings_t()
  0.00     21.79     0.00        2     0.00     2.50  cs296::dominos_t::dominos_t()
  0.00     21.79     0.00        2     0.00     0.00  b2Draw::~b2Draw()
  0.00     21.79     0.00        1     0.00     2.50  __static_initialization_and_destruction_0(int, int)
  0.00     21.79     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     21.79     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     21.79     0.00        1     0.00     0.00  cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)())
  0.00     21.79     0.00        1     0.00     2.50  cs296::dominos_t::create()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.05% of 21.79 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     24.4    1.76    3.55                 b2TestOverlap(b2AABB const&, b2AABB const&) [1]
                2.70    0.63 310412560/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.22    0.00 310412560/575932669     b2Vec2::b2Vec2() [17]
-----------------------------------------------
                0.00    0.00     540/396526184     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [154]
                0.00    0.00     928/396526184     b2Simplex::Solve2() [160]
                0.00    0.00     928/396526184     b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [169]
                0.00    0.00     928/396526184     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [165]
                0.00    0.00    1530/396526184     b2Body::SynchronizeFixtures() [166]
                0.00    0.00    1530/396526184     b2Body::SynchronizeTransform() [167]
                0.00    0.00    1856/396526184     b2Distance(b2Vec2 const&, b2Vec2 const&) [164]
                0.00    0.00    1856/396526184     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [153]
                0.00    0.00    2016/396526184     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [158]
                0.00    0.00    2040/396526184     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [159]
                0.00    0.00    2040/396526184     b2MulT(b2Transform const&, b2Transform const&) [161]
                0.00    0.00    2400/396526184     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00    2400/396526184     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    2784/396526184     b2Simplex::GetSearchDirection() const [152]
                0.00    0.00    3240/396526184     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [147]
                0.00    0.00    3712/396526184     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [157]
                0.00    0.00    5400/396526184     b2ContactSolver::InitializeVelocityConstraints() [145]
                0.00    0.00    5568/396526184     b2Simplex::Solve3() [142]
                0.00    0.00    8064/396526184     b2ContactSolver::SolvePositionConstraints() [141]
                0.00    0.00    9600/396526184     b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [137]
                0.00    0.00   17280/396526184     b2ContactSolver::SolveVelocityConstraints() [135]
                0.00    0.00   32640/396526184     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [136]
                0.02    0.00 2000000/396526184     b2Body::ResetMassData() [43]
                0.02    0.00 2000172/396526184     b2DynamicTree::CreateProxy(b2AABB const&, void*) [45]
                0.02    0.00 2004128/396526184     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [34]
                0.10    0.02 12000006/396526184     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [20]
                0.14    0.03 16000012/396526184     ComputeCentroid(b2Vec2 const*, int) [10]
                0.45    0.11 52000026/396526184     b2PolygonShape::Set(b2Vec2 const*, int) [5]
                2.70    0.63 310412560/396526184     b2TestOverlap(b2AABB const&, b2AABB const&) [1]
[2]     19.5    3.45    0.81 396526184         operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.81    0.00 396526184/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[3]      8.5    1.30    0.56                 b2Min(b2Vec2 const&, b2Vec2 const&) [3]
                0.38    0.00 169637614/169652296     float b2Min<float>(float, float) [18]
                0.17    0.00 84818807/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[4]      7.2    1.11    0.47                 b2Max(b2Vec2 const&, b2Vec2 const&) [4]
                0.29    0.00 169637614/170454926     float b2Max<float>(float, float) [24]
                0.17    0.00 84818807/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[5]      6.6    0.67    0.76                 b2PolygonShape::Set(b2Vec2 const*, int) [5]
                0.45    0.11 52000026/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.19    0.00 22000010/30047928     b2Cross(b2Vec2 const&, b2Vec2 const&) [25]
                0.01    0.00 16000016/575932669     b2Vec2::b2Vec2() [17]
-----------------------------------------------
                0.00    0.00       1/686024043     __static_initialization_and_destruction_0(int, int) [202]
                0.00    0.00       2/686024043     cs296::settings_t::settings_t() [200]
                0.00    0.00      88/686024043     cs296::dominos_t::dominos_t() [128]
                0.00    0.00    1080/686024043     b2MulT(b2Transform const&, b2Vec2 const&) [180]
                0.00    0.00   10932/686024043     b2MulT(b2Rot const&, b2Vec2 const&) [80]
                0.00    0.00  200000/686024043     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
                0.00    0.00  232668/686024043     b2Mul(b2Rot const&, b2Vec2 const&) [138]
                0.00    0.00 2000002/686024043     ComputeCentroid(b2Vec2 const*, int) [10]
                0.00    0.00 2000172/686024043     b2DynamicTree::CreateProxy(b2AABB const&, void*) [45]
                0.00    0.00 2004128/686024043     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [34]
                0.00    0.00 2020872/686024043     b2Cross(float, b2Vec2 const&) [72]
                0.01    0.00 6400000/686024043     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [22]
                0.02    0.00 8009346/686024043     b2Cross(b2Vec2 const&, float) [61]
                0.03    0.00 14700328/686024043     operator*(float, b2Vec2 const&) [32]
                0.05    0.00 26634802/686024043     operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.11    0.00 55645824/686024043     b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.17    0.00 84818807/686024043     b2Min(b2Vec2 const&, b2Vec2 const&) [3]
                0.17    0.00 84818807/686024043     b2Max(b2Vec2 const&, b2Vec2 const&) [4]
                0.81    0.00 396526184/686024043     operator-(b2Vec2 const&, b2Vec2 const&) [2]
[6]      6.4    1.40    0.00 686024043         b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      5.5    0.33    0.86                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
                0.48    0.00 10400000/10400000     debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [14]
                0.14    0.16  200000/200000      debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [22]
                0.06    0.00 83200000/575932669     b2Vec2::b2Vec2() [17]
                0.02    0.00 10600000/10605936     b2Fixture::GetShape() [97]
                0.00    0.00  200000/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[8]      4.3    0.83    0.11                 b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.11    0.00 55645824/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[9]      4.2    0.80    0.12                 b2DynamicTree::InsertLeaf(int) [9]
                0.06    0.06 44102868/44106951     b2AABB::b2AABB() [39]
-----------------------------------------------
                                                 <spontaneous>
[10]     4.1    0.29    0.59                 ComputeCentroid(b2Vec2 const*, int) [10]
                0.15    0.03 16000012/26634802     operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.14    0.03 16000012/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.08    0.02 8000006/14700328     operator*(float, b2Vec2 const&) [32]
                0.07    0.00 8000006/30047928     b2Cross(b2Vec2 const&, b2Vec2 const&) [25]
                0.04    0.00 8000006/10025002     b2Vec2::operator+=(b2Vec2 const&) [56]
                0.03    0.00 2000002/2001472     b2Vec2::operator*=(float) [76]
                0.01    0.00 2000002/10017842     b2Vec2::Set(float, float) [74]
                0.00    0.00 2000002/686024043     b2Vec2::b2Vec2(float, float) [6]
                0.00    0.00 2000002/575932669     b2Vec2::b2Vec2() [17]
-----------------------------------------------
                                                 <spontaneous>
[11]     4.0    0.87    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     2.5    0.55    0.00                 b2GrowableStack<int, 256>::Pop() [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.4    0.53    0.00                 b2AABB::GetPerimeter() const [13]
-----------------------------------------------
                0.48    0.00 10400000/10400000     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
[14]     2.2    0.48    0.00 10400000         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     2.0    0.44    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.9    0.41    0.00                 b2GrowableStack<int, 256>::GetCount() [16]
-----------------------------------------------
                0.00    0.00       1/575932669     __static_initialization_and_destruction_0(int, int) [42]
                0.00    0.00       3/575932669     cs296::base_sim_t::base_sim_t() [126]
                0.00    0.00       3/575932669     b2World::b2World(b2Vec2 const&) [201]
                0.00    0.00       6/575932669     cs296::dominos_t::dominos_t() [128]
                0.00    0.00       8/575932669     b2CircleShape::b2CircleShape() [198]
                0.00    0.00     100/575932669     b2ManifoldPoint::b2ManifoldPoint() [196]
                0.00    0.00     100/575932669     b2Manifold::b2Manifold() [195]
                0.00    0.00     120/575932669     b2PrismaticJointDef::b2PrismaticJointDef() [194]
                0.00    0.00     274/575932669     b2BodyDef::b2BodyDef() [186]
                0.00    0.00     320/575932669     b2PrismaticJoint::b2PrismaticJoint(b2PrismaticJointDef const*) [193]
                0.00    0.00     350/575932669     b2Body::b2Body(b2BodyDef const*, b2World*) [189]
                0.00    0.00     600/575932669     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00     600/575932669     b2Mat22::Solve(b2Vec2 const&) const [190]
                0.00    0.00    1200/575932669     b2Mat22::b2Mat22() [188]
                0.00    0.00    1620/575932669     b2WorldManifold::b2WorldManifold() [185]
                0.00    0.00    1856/575932669     b2DistanceOutput::b2DistanceOutput() [183]
                0.00    0.00    1856/575932669     b2SeparationFunction::b2SeparationFunction() [184]
                0.00    0.00    3240/575932669     b2ClipVertex::b2ClipVertex() [179]
                0.00    0.00    3712/575932669     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [157]
                0.00    0.00    4032/575932669     b2PositionSolverManifold::b2PositionSolverManifold() [178]
                0.00    0.00    4800/575932669     b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [137]
                0.00    0.00    4800/575932669     b2Mat33::Solve22(b2Vec2 const&) const [176]
                0.00    0.00    7424/575932669     b2DistanceProxy::b2DistanceProxy() [175]
                0.00    0.00    8352/575932669     b2SimplexVertex::b2SimplexVertex() [173]
                0.00    0.00   11661/575932669     b2Sweep::b2Sweep() [171]
                0.00    0.00   12288/575932669     cs296::contact_point_t::contact_point_t() [170]
                0.00    0.00   14756/575932669     b2Vec2::operator-() const [151]
                0.00    0.00   17449/575932669     b2Transform::b2Transform() [168]
                0.00    0.00 2000002/575932669     ComputeCentroid(b2Vec2 const*, int) [10]
                0.01    0.00 8000000/575932669     cs296::dominos_t::check() [28]
                0.01    0.00 16000016/575932669     b2PolygonShape::Set(b2Vec2 const*, int) [5]
                0.05    0.00 68004658/575932669     b2PolygonShape::b2PolygonShape() [46]
                0.06    0.00 83200000/575932669     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
                0.06    0.00 88213902/575932669     b2AABB::b2AABB() [39]
                0.22    0.00 310412560/575932669     b2TestOverlap(b2AABB const&, b2AABB const&) [1]
[17]     1.9    0.41    0.00 575932669         b2Vec2::b2Vec2() [17]
-----------------------------------------------
                0.00    0.00    1530/169652296     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.00    0.00    2016/169652296     b2ContactSolver::SolvePositionConstraints() [141]
                0.00    0.00   11136/169652296     float b2Clamp<float>(float, float, float) [155]
                0.38    0.00 169637614/169652296     b2Min(b2Vec2 const&, b2Vec2 const&) [3]
[18]     1.8    0.39    0.00 169652296         float b2Min<float>(float, float) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.6    0.35    0.00                 b2GrowableStack<int, 256>::Push(int const&) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.5    0.09    0.25                 b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [20]
                0.10    0.02 12000006/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.12    0.00 12000006/12116278     b2Dot(b2Vec2 const&, b2Vec2 const&) [40]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.5    0.33    0.00                 b2DynamicTree::Balance(int) [21]
-----------------------------------------------
                0.14    0.16  200000/200000      b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
[22]     1.4    0.14    0.16  200000         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [22]
                0.06    0.01 6600000/14700328     operator*(float, b2Vec2 const&) [32]
                0.06    0.01 6600000/26634802     operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.01    0.00 6400000/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                0.00    0.00     124/26634802     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [181]
                0.00    0.00     540/26634802     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [154]
                0.00    0.00     540/26634802     b2ContactSolver::WarmStart() [156]
                0.00    0.00     928/26634802     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [153]
                0.00    0.00    1080/26634802     b2ContactSolver::InitializeVelocityConstraints() [145]
                0.00    0.00    1470/26634802     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
